timestamp,heart_rate
2025-06-07 12:55:58,75
2025-06-07 12:56:03,76
2025-06-07 12:56:08,80
2025-06-07 12:56:13,77
2025-06-07 12:56:15,77
2025-06-07 12:56:20,78
2025-06-07 12:56:28,76
2025-06-07 12:56:32,75
2025-06-07 12:56:38,73
2025-06-07 12:56:41,72
2025-06-07 12:56:47,71
2025-06-07 12:56:53,71
2025-06-07 12:56:58,71
2025-06-07 12:56:59,71
2025-06-07 12:57:04,68
2025-06-07 12:57:10,70
2025-06-07 12:57:17,69
2025-06-07 12:57:19,69
2025-06-07 12:57:25,73
2025-06-07 12:57:31,74
2025-06-07 12:57:38,70
2025-06-07 12:57:41,69
2025-06-07 12:57:45,69
2025-06-07 12:57:53,67
2025-06-07 12:57:54,67
2025-06-07 12:58:01,67
2025-06-07 12:58:07,68
2025-06-07 12:58:10,67
2025-06-07 12:58:17,68
2025-06-07 12:58:20,68
2025-06-07 12:58:24,68
2025-06-07 12:58:30,66
2025-06-07 12:58:36,67
2025-06-07 12:58:39,67
2025-06-07 12:58:48,73
2025-06-07 12:58:53,73
2025-06-07 12:58:57,71
2025-06-07 12:59:02,68
2025-06-07 12:59:05,68
2025-06-07 12:59:12,68
2025-06-07 12:59:16,67
2025-06-07 12:59:20,67
2025-06-07 12:59:27,74
2025-06-07 12:59:31,72
2025-06-07 12:59:36,71
2025-06-07 12:59:41,69
2025-06-07 12:59:47,67
2025-06-07 12:59:49,66
2025-06-07 12:59:57,70
2025-06-07 13:00:00,69
2025-06-07 13:00:08,71
2025-06-07 13:00:09,70
2025-06-07 13:00:17,69
2025-06-07 13:00:22,67
2025-06-07 13:00:24,67
2025-06-07 13:00:33,66
2025-06-07 13:00:35,66
2025-06-07 13:00:39,70
2025-06-07 13:00:48,71
2025-06-07 13:00:53,69
2025-06-07 13:00:56,67
2025-06-07 13:01:01,66
2025-06-07 13:01:08,69
2025-06-07 13:01:12,68
2025-06-07 13:01:18,68
2025-06-07 13:01:21,67
2025-06-07 13:01:25,68
2025-06-07 13:01:29,68
2025-06-07 13:01:38,68
2025-06-07 13:01:39,68
2025-06-07 13:01:47,69
2025-06-07 13:01:50,69
2025-06-07 13:01:57,71
2025-06-07 13:02:01,71
2025-06-07 13:02:08,72
2025-06-07 13:02:11,73
2025-06-07 13:02:14,74
2025-06-07 13:02:22,77
2025-06-07 13:02:26,76
2025-06-07 13:02:29,73
2025-06-07 13:02:37,70
2025-06-07 13:02:43,67
2025-06-07 13:02:46,67
2025-06-07 13:02:49,68
2025-06-07 13:02:58,70
2025-06-07 13:02:59,69
2025-06-07 13:03:08,69
2025-06-07 13:03:13,69
2025-06-07 13:03:18,68
2025-06-07 13:03:23,68
2025-06-07 13:03:25,69
2025-06-07 13:03:33,67
2025-06-07 13:03:38,67
2025-06-07 13:03:43,67
2025-06-07 13:03:47,68
2025-06-07 13:03:49,68
2025-06-07 13:03:57,68
2025-06-07 13:03:59,68
2025-06-07 13:04:04,71
2025-06-07 13:04:13,71
2025-06-07 13:04:18,73
2025-06-07 13:04:23,69
2025-06-07 13:04:24,69
2025-06-07 13:04:33,68
2025-06-07 13:04:38,67
2025-06-07 13:04:43,67
2025-06-07 13:04:47,67
2025-06-07 13:04:52,70
2025-06-07 13:04:54,70
2025-06-07 13:05:02,68
2025-06-07 13:05:04,67
2025-06-07 13:05:10,68
2025-06-07 13:05:18,70
2025-06-07 13:05:23,70
2025-06-07 13:05:25,71
2025-06-07 13:05:30,71
2025-06-07 13:05:37,68
2025-06-07 13:05:39,68
2025-06-07 13:05:48,70
2025-06-07 13:05:49,69
2025-06-07 13:05:58,79
2025-06-07 13:06:02,78
2025-06-07 13:06:08,75
2025-06-07 13:06:12,74
2025-06-07 13:06:18,73
2025-06-07 13:06:22,73
2025-06-07 13:06:24,73
2025-06-07 13:06:32,71
2025-06-07 13:06:36,71
2025-06-07 13:06:43,68
2025-06-07 13:06:44,68
2025-06-07 13:06:51,67
2025-06-07 13:06:55,67
2025-06-07 13:06:59,68
2025-06-07 13:07:04,74
2025-06-07 13:07:13,73
2025-06-07 13:07:18,70
2025-06-07 13:07:23,67
2025-06-07 13:07:28,65
2025-06-07 13:07:33,64
2025-06-07 13:07:34,63
2025-06-07 13:07:43,64
2025-06-07 13:07:44,64
2025-06-07 13:07:53,65
